Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.000000000	4.000000000	0.0	24000.0
2	Spectrogram 1	1	4.000000000	7.000000000	0.0	24000.0
3	Spectrogram 1	1	7.000000000	10.000000000	0.0	24000.0
5	Spectrogram 1	1	13.000000000	16.000000000	0.0	24000.0
7	Spectrogram 1	1	19.000000000	22.000000000	0.0	24000.0
8	Spectrogram 1	1	22.000000000	25.000000000	0.0	24000.0
9	Spectrogram 1	1	25.000000000	28.000000000	0.0	24000.0
10	Spectrogram 1	1	28.000000000	31.000000000	0.0	24000.0
11	Spectrogram 1	1	31.000000000	34.000000000	0.0	24000.0
12	Spectrogram 1	1	34.000000000	37.000000000	0.0	24000.0
13	Spectrogram 1	1	37.000000000	40.000000000	0.0	24000.0
14	Spectrogram 1	1	40.000000000	43.000000000	0.0	24000.0
15	Spectrogram 1	1	43.000000000	46.000000000	0.0	24000.0
16	Spectrogram 1	1	46.000000000	49.000000000	0.0	24000.0
18	Spectrogram 1	1	52.000000000	55.000000000	0.0	24000.0
19	Spectrogram 1	1	55.000000000	58.000000000	0.0	24000.0
20	Spectrogram 1	1	58.000000000	61.000000000	0.0	24000.0
21	Spectrogram 1	1	61.000000000	64.000000000	0.0	24000.0
22	Spectrogram 1	1	64.000000000	67.000000000	0.0	24000.0
23	Spectrogram 1	1	67.000000000	70.000000000	0.0	24000.0
24	Spectrogram 1	1	70.000000000	73.000000000	0.0	24000.0
27	Spectrogram 1	1	79.000000000	82.000000000	0.0	24000.0
28	Spectrogram 1	1	82.000000000	85.000000000	0.0	24000.0
29	Spectrogram 1	1	85.000000000	88.000000000	0.0	24000.0
31	Spectrogram 1	1	91.000000000	94.000000000	0.0	24000.0
33	Spectrogram 1	1	97.000000000	100.000000000	0.0	24000.0
