Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Record Name
1,Spectrogram 1,1,1,4,0,24000,allobates_juanii.01.wav
2,Spectrogram 1,1,4,7,0,24000,allobates_juanii.02.wav
3,Spectrogram 1,1,7,10,0,24000,allobates_juanii.03.wav
5,Spectrogram 1,1,13,16,0,24000,allobates_juanii.05.wav
7,Spectrogram 1,1,19,22,0,24000,allobates_juanii.07.wav
8,Spectrogram 1,1,22,25,0,24000,allobates_juanii.08.wav
9,Spectrogram 1,1,25,28,0,24000,allobates_juanii.09.wav
10,Spectrogram 1,1,28,31,0,24000,allobates_juanii.10.wav
11,Spectrogram 1,1,31,34,0,24000,allobates_juanii.11.wav
12,Spectrogram 1,1,34,37,0,24000,allobates_juanii.12.wav
13,Spectrogram 1,1,37,40,0,24000,allobates_juanii.13.wav
14,Spectrogram 1,1,40,43,0,24000,allobates_juanii.14.wav
15,Spectrogram 1,1,43,46,0,24000,allobates_juanii.15.wav
16,Spectrogram 1,1,46,49,0,24000,allobates_juanii.16.wav
18,Spectrogram 1,1,52,55,0,24000,allobates_juanii.18.wav
19,Spectrogram 1,1,55,58,0,24000,allobates_juanii.19.wav
20,Spectrogram 1,1,58,61,0,24000,allobates_juanii.20.wav
21,Spectrogram 1,1,61,64,0,24000,allobates_juanii.21.wav
22,Spectrogram 1,1,64,67,0,24000,allobates_juanii.22.wav
23,Spectrogram 1,1,67,70,0,24000,allobates_juanii.23.wav
24,Spectrogram 1,1,70,73,0,24000,allobates_juanii.24.wav
27,Spectrogram 1,1,79,82,0,24000,allobates_juanii.27.wav
28,Spectrogram 1,1,82,85,0,24000,allobates_juanii.28.wav
29,Spectrogram 1,1,85,88,0,24000,allobates_juanii.29.wav
31,Spectrogram 1,1,91,94,0,24000,allobates_juanii.31.wav
33,Spectrogram 1,1,97,100,0,24000,allobates_juanii.33.wav
